model,interval_start_datetime,predicted_call_volume
gradient_boosting,2026-01-09T09:00:00,302.4904
gradient_boosting,2026-01-09T09:30:00,313.9711
gradient_boosting,2026-01-09T10:00:00,318.9338
gradient_boosting,2026-01-09T10:30:00,318.9338
gradient_boosting,2026-01-09T11:00:00,313.9711
gradient_boosting,2026-01-09T11:30:00,318.9338
gradient_boosting,2026-01-09T12:00:00,317.6835
gradient_boosting,2026-01-09T12:30:00,312.7208
gradient_boosting,2026-01-09T13:00:00,304.7574
gradient_boosting,2026-01-09T13:30:00,313.8435
gradient_boosting,2026-01-09T14:00:00,317.6835
gradient_boosting,2026-01-09T14:30:00,312.7208
gradient_boosting,2026-01-09T15:00:00,315.6045
gradient_boosting,2026-01-09T15:30:00,295.1209
gradient_boosting,2026-01-09T16:00:00,278.3488
gradient_boosting,2026-01-09T16:30:00,266.4231
gradient_boosting,2026-01-09T17:00:00,247.1415
gradient_boosting,2026-01-09T17:30:00,241.3180
gradient_boosting,2026-01-09T18:00:00,226.0409
gradient_boosting,2026-01-09T18:30:00,226.2084
gradient_boosting,2026-01-09T19:00:00,226.2084
gradient_boosting,2026-01-09T19:30:00,221.2179
gradient_boosting,2026-01-09T20:00:00,226.2084
gradient_boosting,2026-01-09T20:30:00,219.1296
gradient_boosting,2026-01-09T21:00:00,222.7694
gradient_boosting,2026-01-09T21:30:00,226.2084
gradient_boosting,2026-01-09T22:00:00,222.7694
gradient_boosting,2026-01-09T22:30:00,222.7694
gradient_boosting,2026-01-09T23:00:00,229.6613
gradient_boosting,2026-01-09T23:30:00,217.1938
gradient_boosting,2026-01-10T00:00:00,216.3655
gradient_boosting,2026-01-10T00:30:00,188.9341
gradient_boosting,2026-01-10T01:00:00,167.3803
gradient_boosting,2026-01-10T01:30:00,113.4258
gradient_boosting,2026-01-10T02:00:00,91.2455
gradient_boosting,2026-01-10T02:30:00,92.0747
gradient_boosting,2026-01-10T03:00:00,90.4019
gradient_boosting,2026-01-10T03:30:00,82.5729
gradient_boosting,2026-01-10T04:00:00,84.8112
gradient_boosting,2026-01-10T04:30:00,82.5729
gradient_boosting,2026-01-10T05:00:00,82.5729
gradient_boosting,2026-01-10T05:30:00,91.4782
gradient_boosting,2026-01-10T06:00:00,110.6917
gradient_boosting,2026-01-10T06:30:00,126.9501
gradient_boosting,2026-01-10T07:00:00,145.7786
gradient_boosting,2026-01-10T07:30:00,179.7945
gradient_boosting,2026-01-10T08:00:00,201.4971
gradient_boosting,2026-01-10T08:30:00,235.6875
gradient_boosting,2026-01-10T09:00:00,246.8655
gradient_boosting,2026-01-10T09:30:00,251.1090
gradient_boosting,2026-01-10T10:00:00,268.8913
gradient_boosting,2026-01-10T10:30:00,264.5399
gradient_boosting,2026-01-10T11:00:00,251.1090
gradient_boosting,2026-01-10T11:30:00,256.4758
gradient_boosting,2026-01-10T12:00:00,255.2255
gradient_boosting,2026-01-10T12:30:00,269.6791
gradient_boosting,2026-01-10T13:00:00,267.6409
gradient_boosting,2026-01-10T13:30:00,249.8587
gradient_boosting,2026-01-10T14:00:00,255.2255
gradient_boosting,2026-01-10T14:30:00,269.6791
gradient_boosting,2026-01-10T15:00:00,243.6005
gradient_boosting,2026-01-10T15:30:00,256.2582
gradient_boosting,2026-01-10T16:00:00,244.7591
gradient_boosting,2026-01-10T16:30:00,237.4776
gradient_boosting,2026-01-10T17:00:00,240.6072
gradient_boosting,2026-01-10T17:30:00,244.8428
gradient_boosting,2026-01-10T18:00:00,226.0409
gradient_boosting,2026-01-10T18:30:00,221.7525
gradient_boosting,2026-01-10T19:00:00,226.7430
gradient_boosting,2026-01-10T19:30:00,230.1959
gradient_boosting,2026-01-10T20:00:00,230.1959
gradient_boosting,2026-01-10T20:30:00,226.7430
gradient_boosting,2026-01-10T21:00:00,230.1959
gradient_boosting,2026-01-10T21:30:00,230.1959
gradient_boosting,2026-01-10T22:00:00,230.1959
gradient_boosting,2026-01-10T22:30:00,230.1959
gradient_boosting,2026-01-10T23:00:00,230.1959
gradient_boosting,2026-01-10T23:30:00,229.0970
gradient_boosting,2026-01-11T00:00:00,206.7957
gradient_boosting,2026-01-11T00:30:00,174.8821
gradient_boosting,2026-01-11T01:00:00,187.1260
gradient_boosting,2026-01-11T01:30:00,149.2148
gradient_boosting,2026-01-11T02:00:00,118.4498
gradient_boosting,2026-01-11T02:30:00,89.8799
gradient_boosting,2026-01-11T03:00:00,99.5579
gradient_boosting,2026-01-11T03:30:00,77.9632
